marketId,chainId,collateral_symbol,collateral_address,loan_symbol,loan_address,borrow_usd,collateral_usd
0x64d65c9a2d91c36d56fbc42d69e979335320169b3df63bf92789e2c8883fcc64,1,cbBTC,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,236482433.29088584,448307368.638397
0xe7e9694b754c4d4f7e21faf7223f6fa71abaeb10296a4c43a54a7977149687d2,1,wstETH,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,140839852.39002335,448034583.1120044
0x3a85e619751152991742810df6ec69ce473daef99e28a64ab2340d7b7ccfee49,1,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,125101894.89464882,233592317.90379962
0x41c41d0c9aadbf4751f5ee215ed5a16954a4b34e1b70fca5393d4b08858fa3fa,1,PRIME,0x19ebb35279A16207Ec4ba82799CC64715065F7F6,PYUSD,0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,91280012.94720942,119950403.22364755
0x15bb2a6af0c909eed19fb1f2ceeead34ecbdcba626de752c6b09389ee14eec32,1,kBTC,0x73E0C0d45E048D25Fc26Fa3159b0aA04BfA4Db98,RLUSD,0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD,74221261.28693895,109253302.5429255
0xe51f9aaad25d0e755429cf77076b3c2d37cb1228ed81f8a5482f2102c220eef5,1,kBTC,0x73E0C0d45E048D25Fc26Fa3159b0aA04BfA4Db98,PYUSD,0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,71384816.2938741,103636101.83595972
0xb8fc70e82bc5bb53e773626fcc6a23f7eefa036918d7ef216ecfb1950a94a85e,1,wstETH,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,71069439.1019616,80344078.11965059
0xc9629945524f3fde56c7e8854a6c3d48e76b9d97236abbe73c750fcc7aeb8501,1,syrupUSDC,0x80ac24aA929eaF5013f6436cdA2a7ba190f5Cc0b,PYUSD,0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,67582806.95852321,79058373.1181342
0x88a18b2f4d94e7ad27a381b15531c06abf05a7c99dd5d3c3679875fed6f7e742,1,sUSDe,0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,USDtb,0xC139190F447e929f090Edeb554D95AbB8b18aC1C,66962080.14219916,76516031.8001295
0x3274643db77a064abd3bc851de77556a4ad2e2f502f4f0c80845fa8f909ecf0b,1,sUSDS,0xa3931d71877C0E7a3148CB7Eb4463524FEc27fbD,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,51944869.75523096,59635034.52244497
0xa921ef34e2fc7a27ccc50ae7e4b154e16c9799d3387076c421423ef52ac4df99,1,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,50870828.498121515,83007187.25228722
0x85d59152eeeab7ca024804895b358868d8dd1e134171be400d7792d5604a212c,1,weETH,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,PYUSD,0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,46181621.15444664,79935144.0701514
0xe83d72fa5b00dcd46d9e0e860d95aa540d5ec106da5833108a9f826f21f36f52,1,AA_FalconXUSDC,0xC26A6Fa2C37b38E549a4a1807543801Db684f99C,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,45090068.42021307,75866683.74381058
0x6a7e36eb088bd501d73f7ab4c5b8671358559341a78ce521c9e499dc0bc642b9,1,LBTC,0x8236a87084f8B84306f72007F36F2618A5634494,PYUSD,0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,38935147.84975366,60716205.88289571
0xea4bfb18df0ee6bffb7b3f0270899a8adb92ab6b684709634c8276128813cfd4,1,weETH,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,RLUSD,0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD,38445172.46453185,65274878.999883026
0x90ef0c5a0dc7c4de4ad4585002d44e9d411d212d2f6258e94948beecf8b4c0d5,1,sUSDe,0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,PYUSD,0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,35669227.08475018,41416529.15052155
0xb323495f7e4148be5643a4ea4a8221eef163e4bccfdedc2a6f4696baacbc86cc,1,wstETH,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,28468967.696480215,60138085.160426386
0xc0ae375fd761ff19b3f04de5534c0f1ec110f80e1c2ede27c42c1c43c3040394,1,syrupUSDC,0x80ac24aA929eaF5013f6436cdA2a7ba190f5Cc0b,RLUSD,0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD,28315069.52715395,32462171.223301217
0x37e7484d642d90f14451f1910ba4b7b8e4c3ccdd0ec28f8b2bdb35479e472ba7,1,weETH,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,27120798.83032766,30282084.035132036
0xd9e34b1eed46d123ac1b69b224de1881dbc88798bc7b70f504920f62f58f28cc,1,wstUSR,0x1202F5C7b4B9E47a1A484E8B270be34dbbC75055,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,27059212.5542411,993453.8526860519
0x9bc98c2f20ac58287ef2c860eea53a2fdc27c17a7817ff1206c0b7840cc7cd79,1,PT-reUSD-25JUN2026,0x3EAA0F0f0A5d3D595ae4e4b0D27f439d01c3E7b2,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,26384036.94576041,31532804.2719336
0x1590cb22d797e226df92ebc6e0153427e207299916e7e4e53461389ad68272fb,1,wsrUSD,0xd3fD63209FA2D55B07A0f6db36C2f43900be3094,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,25974259.92373009,29170774.303067245
0xe07d416323a1afbfe0bf2fe27ffb549ff565cf5c86d21b79fc60664038e597c9,1,savUSD,0xb8D89678E75a973E74698c976716308abB8a46A4,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,22943808.43649489,29657574.35263832
0x23a7d0ff682b323363fb8ba58327ed87001f6306e09b7fd7413bbe4698e749c8,1,msY,0x890A5122Aa1dA30fEC4286DE7904Ff808F0bd74A,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,21281931.928441547,32612810.943812016
0xd0e50cdac92fe2172043f5e0c36532c6369d24947e40968f34a5e8819ca9ec5d,1,wstETH,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,20183029.60987449,23020395.00349011
0xab3196447663a41382ba4b4d55eab3fa702ee2cf071db224fd72492953040056,1,syrupUSDC,0x80ac24aA929eaF5013f6436cdA2a7ba190f5Cc0b,AUSD,0x00000000eFE302BEAA2b3e6e1b18d08D69a9012a,18997964.463115767,22053985.942641187
